pair_id,coordinate_a,coordinate_b,pair_reliable,min_lift_vs_base,min_rank1,min_margin,mean_controlled_mass
0,0,16,False,0.018751566991158874,0.60546875,0.0026609032502165064,0.021915315294176452
1,1,17,True,0.12357284832347659,1.0,0.14650094632816035,0.168931412124266
2,2,18,False,0.006593362516447598,0.22265625,-0.008870302233844995,0.007638960997738309
3,3,19,True,0.13776019386068583,0.99609375,0.18901798513252288,0.1938879882272886
4,4,20,True,0.0727389666195819,0.89453125,0.03002518040011637,0.10579316737408817
5,5,21,False,0.010569240229290067,0.3828125,-0.0023569930635858327,0.012282255007320941
6,6,22,True,0.13002775058873794,1.0,0.17547689488856122,0.17381493929042335
7,7,23,True,0.035732864250121565,0.8515625,0.019109074026346207,0.04183361105970107
8,8,24,True,0.07488172713630092,0.8984375,0.03404583873634692,0.10817935543821022
9,9,25,False,0.009714502664147862,0.37890625,-0.0068455354776233435,0.011271371672375352
10,10,26,True,0.12842188072079352,1.0,0.16122338892455446,0.17034263430196006
11,11,27,False,0.03714628200441439,0.69140625,0.01209852285683155,0.043416519729362335
12,12,28,False,0.0337790162863314,0.78515625,0.015154509597778087,0.03955355183825304
13,13,29,False,0.010569240229290067,0.3828125,-0.0023569930635858327,0.012282255007320941
14,14,30,False,0.04374867456681386,0.70703125,0.01704783085733652,0.05154264926250107
15,15,31,True,0.08568474550804694,0.98046875,0.07112375815631822,0.10754338433162047
