condition,target_surface_label,row_count,mean_target_mass,median_target_mass,mean_target_margin,median_target_margin,rank1_rate
base,Create a short summary,2048,0.010948905420264055,0.007108249003067613,-0.01900139472400042,4.4433050788939e-05,0.515625
base,Create a simple timeline,2048,0.005714277513135357,0.0022756921825930476,-0.08936376680728131,-0.06364054349251091,0.15625
base,Prepare a note,2048,0.0012197791277230863,0.0006270304438658059,-0.032173998360121914,-0.011315687093883753,0.0859375
base,Prepare questions,2048,0.001444386114229701,0.0008713446150068194,-0.009114022051079473,-0.0010607935910229571,0.25
protected,Create a short summary,2048,0.07977528127958067,0.07916038483381271,0.07381024842379702,0.07446336513385177,1.0
protected,Create a simple timeline,2048,0.061294521554373205,0.059326743707060814,0.0554283031669911,0.05419305805116892,1.0
protected,Prepare a note,2048,0.1097758705727756,0.10757668688893318,0.10509902996182063,0.1033493074355647,1.0
protected,Prepare questions,2048,0.08823293700697832,0.08615205809473991,0.08296270669961814,0.07921490678563714,1.0
task_only,Create a short summary,2048,0.0043249780253091785,0.0014289032551459968,-0.019005968078332103,-0.0004732981906272471,0.4375
task_only,Create a simple timeline,2048,0.001962155585328418,0.00024391872284468263,-0.13624839004375033,-0.060708125587552786,0.1640625
task_only,Prepare a note,2048,0.00017447631252842655,5.29381213709712e-05,-0.038128554035575135,-0.0056196516125055496,0.0625
task_only,Prepare questions,2048,0.00022810147140184256,6.452218440244906e-05,-0.005454529754887361,-0.000354413492459571,0.1328125
