selection_role,candidate_bank_id,bucket_0_surfaces,bucket_1_surfaces,bucket_0_mass,bucket_1_mass,combined_bank_mass,min_bucket_mass,mass_ratio,context_count,tokenizer_valid,script_gate_passed,pilot_gate_passed,preferred_combined_mass,paper_ready_mass_gate_passed
primary,step_label_r2_prompt_ctx_set_plan_vs_create_prepare_v1,Set|Plan,Create|Prepare,0.08017483833833738,0.06311000335572636,0.14328484169406375,0.06311000335572636,1.2703982582035882,512,True,True,True,True,True
secondary_or_ablation,step_label_r2_prompt_ctx_set_create_vs_plan_prepare_v1,Set|Create,Plan|Prepare,0.09364957080852143,0.049635272674521946,0.14328484348304338,0.049635272674521946,1.886754434142401,512,True,True,True,True,False
secondary_or_ablation,step_label_r2_prompt_ctx_assign_schedule_vs_identify_establish_v1,Assign|Schedule,Identify|Establish,0.04668396313525314,0.04422096742748716,0.0909049305627403,0.04422096742748716,1.0556974632408203,512,True,True,True,False,False
secondary_or_ablation,step_label_r2_prompt_ctx_assign_identify_vs_schedule_establish_v1,Assign|Identify,Schedule|Establish,0.047716036946148455,0.0431888853618041,0.09090492230795255,0.0431888853618041,1.1048221445499062,512,True,True,True,False,False
secondary_or_ablation,step_label_r2_prompt_ctx_set_vs_plan_v1,Set,Plan,0.049987188554468265,0.030187641961372694,0.08017483051584096,0.030187641961372694,1.6558825170389442,512,True,True,True,False,False
near_miss,step_label_r2_prompt_ctx_keep_check_vs_choose_develop_v1,Keep|Check,Choose|Develop,0.028953977171790254,0.030405213510757534,0.05935919068254779,0.028953977171790254,1.0501221759745398,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_keep_choose_vs_check_develop_v1,Keep|Choose,Check|Develop,0.027975282335436447,0.03138390659110346,0.05935918892653991,0.027975282335436447,1.1218441413672273,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_assign_vs_identify_v1,Assign,Identify,0.023333554458175157,0.024382484978072494,0.04771603943624765,0.023333554458175157,1.0449537391218093,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_schedule_vs_establish_v1,Schedule,Establish,0.02335040360840912,0.01983847565313751,0.04318887926154663,0.01983847565313751,1.1770260990146282,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_create_vs_prepare_v1,Create,Prepare,0.04366237587516919,0.019447625601917068,0.06311000147708626,0.019447625601917068,2.2451263084201463,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_take_determine_vs_train_send_v1,Take|Determine,Train|Send,0.02275740089757594,0.015689324499308613,0.038446725396884554,0.015689324499308613,1.4505022761546427,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_take_train_vs_determine_send_v1,Take|Train,Determine|Send,0.013711737740398631,0.02473498691202103,0.03844672465241966,0.013711737740398631,1.8039279470132228,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_keep_vs_check_v1,Keep,Check,0.017735256904208907,0.011218721318731507,0.028953978222940414,0.011218721318731507,1.5808625956861027,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_choose_vs_develop_v1,Choose,Develop,0.010240026752210508,0.020165185450386924,0.030405212202597433,0.010240026752210508,1.9692512469299828,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_train_vs_send_v1,Train,Send,0.008382211532525394,0.007307114779356152,0.015689326311881545,0.007307114779356152,1.1471301307879513,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_assess_vs_implement_v1,Assess,Implement,0.007070507274268077,0.012051501893587634,0.01912200916785571,0.007070507274268077,1.704474859596998,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_pack_vs_list_v1,Pack,List,0.009557215529613894,0.006241170460275117,0.01579838598988901,0.006241170460275117,1.5313178177787827,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_take_vs_determine_v1,Take,Determine,0.00532952664761541,0.017427873905000668,0.02275740055261608,0.00532952664761541,3.270060374460914,512,True,True,False,False,False
rejected,step_label_r2_prompt_ctx_decide_vs_confirm_v1,Decide,Confirm,0.008998127820574575,0.0035693046444860155,0.01256743246506059,0.0035693046444860155,2.5209750124510086,512,True,False,False,False,False
