method,classification,implemented,directly_comparable,access_required,access_type,target,required_role,current_artifact_status,minimum_experiment_needed,notes
fixed representative,internal ablation,yes,yes,owner can train the same Qwen LoRA and auditor uses black-box text outputs,gray-box training plus black-box text evaluation,ownership verification diagnostic,secondary baseline,12 final rows completed with contract hash match,none for internal ablation but it cannot count as an external ownership baseline,Canonical-token ablation of our verifier design rather than an independent baseline
uniform bucket,internal ablation,yes,yes,owner can train the same Qwen LoRA and auditor uses black-box text outputs,gray-box training plus black-box text evaluation,ownership verification diagnostic,secondary baseline,12 final rows completed with contract hash match,none for internal ablation but report utility and distortion against bucket-mass training,Uniform-within-bucket ablation tests objective semantics rather than external ownership verification
English-random / Instructional Fingerprinting,weak legacy baseline,partial_proxy,partial,black-box probe access to suspect model text outputs,black-box text-only,active ownership verification,secondary baseline,12 english-random proxy rows completed as valid method failures,implement actual Instructional Fingerprinting or clearly rename current row as a weak natural-language proxy under matched FAR and utility budgets,Current adapter is not a faithful implementation of Instructional Fingerprinting because it has no learned or decoded owner-controlled payload
Chain & Hash,strong external ownership baseline,no,yes,black-box prompt access plus owner-held chain or hash secret and public verifier,black-box text-only,active ownership verification,main baseline,not implemented,implement enrollment response-chain construction and frozen verifier under M=4 FAR=0.01 and utility budget,Direct external ownership baseline and a high-priority gap
Scalable Fingerprinting / Perinucleus,strong external ownership baseline,no,yes,owner-side fingerprint construction plus suspect-model queries and any required detector scores,black-box text or logprob depending on detector,active ownership verification,main baseline,not implemented,port Perinucleus or scalable fingerprint detector and calibrate on the frozen split before final eval,Important because manuscript cites scalable fingerprinting as closest related work
MergePrint,strong external ownership baseline,no,yes,owner-side fingerprint implantation plus black-box suspect queries and optional merge-stress protocol,gray-box owner training plus black-box text evaluation,active ownership verification,main baseline,not implemented,implement MergePrint-style fingerprint training and detector under matched FAR utility and query budgets,Strong external ownership verifier especially relevant if paper claims robustness to model merging
CTCC,strong external ownership baseline,no,yes if multi-turn budget is frozen,owner-side backdoor or correlation training plus multi-turn suspect queries,gray-box owner training plus black-box multi-turn text evaluation,active ownership verification,main or secondary baseline,placeholder adapter only,wire real CTCC implementation or exclude from baseline claims and keep as related work,Current placeholder must not be counted as implemented evidence
EverTracer,strong external ownership baseline,no,yes,owner-side probabilistic fingerprint construction plus black-box suspect queries,gray-box owner setup plus black-box text evaluation,active ownership verification,main baseline,not implemented,implement probabilistic fingerprint verifier with frozen FAR threshold and utility reporting,Strong external active ownership baseline and useful complement to deterministic payload recovery
MEraser,attack/scrubbing evaluation,no,not as baseline,attacker or evaluator needs modification access to remove fingerprints while preserving utility,gray-box or white-box attack,erasure or scrubbing,attack evaluation,not implemented,run MEraser-style erasure against our trained evidence and at least one external fingerprint baseline under a utility budget,Should be presented as attack or robustness stress not as ownership baseline
KGW,provenance/task-mismatched control,placeholder,not directly,watermarking decoder or generation-time token bias plus detector over generated text,provenance detector with generation-control requirement,text provenance,task-mismatched control,12 unavailable control rows excluded from ownership denominator,only implement as provenance control and never count as primary ownership baseline,KGW answers text provenance not owner-controlled model evidence recovery
PostMark,provenance/task-mismatched control,no,not directly,post-hoc or black-box watermarking setup plus text detector,black-box text provenance detector,text provenance,task-mismatched control,not implemented,optional appendix control under the same FAR reporting but outside ownership denominator,Useful to clarify task mismatch with text watermarking
ESF/RESF,related work only,placeholder_for_ESF_only,partial,black-box tamper-detection probes and detector scores,black-box text-only,tamper detection rather than payload ownership recovery,related work only unless adapted,ESF placeholder adapter exists but no real rows and RESF not implemented,implement only if reframed as a secondary tamper-detection baseline with matched FAR utility and query budgets,Closest as black-box fingerprinting but target is tamper detection not recovered owner payload
