case_id,variant_id,block_count,seed,payload,symbol_index,expected_symbol,decoded_symbol,is_erasure,is_symbol_error
B1_U00_s17,B1,1,17,U00,0,0,0,False,False
B1_U03_s17,B1,1,17,U03,0,3,3,False,False
B1_U12_s17,B1,1,17,U12,0,12,12,False,False
B1_U15_s17,B1,1,17,U15,0,15,15,False,False
B1_U00_s23,B1,1,23,U00,0,0,0,False,False
B1_U03_s23,B1,1,23,U03,0,3,0,False,True
B1_U12_s23,B1,1,23,U12,0,12,0,False,True
B1_U15_s23,B1,1,23,U15,0,15,0,False,True
B1_U00_s29,B1,1,29,U00,0,0,0,False,False
B1_U03_s29,B1,1,29,U03,0,3,3,False,False
B1_U12_s29,B1,1,29,U12,0,12,12,False,False
B1_U15_s29,B1,1,29,U15,0,15,15,False,False
B2_U00_s17,B2,2,17,U00,0,0,0,False,False
B2_U00_s17,B2,2,17,U00,1,15,15,False,False
B2_U03_s17,B2,2,17,U03,0,3,3,False,False
B2_U03_s17,B2,2,17,U03,1,12,12,False,False
B2_U12_s17,B2,2,17,U12,0,12,12,False,False
B2_U12_s17,B2,2,17,U12,1,3,3,False,False
B2_U15_s17,B2,2,17,U15,0,15,15,False,False
B2_U15_s17,B2,2,17,U15,1,0,0,False,False
B2_U00_s23,B2,2,23,U00,0,0,0,False,False
B2_U00_s23,B2,2,23,U00,1,15,15,False,False
B2_U03_s23,B2,2,23,U03,0,3,3,False,False
B2_U03_s23,B2,2,23,U03,1,12,12,False,False
B2_U12_s23,B2,2,23,U12,0,12,12,False,False
B2_U12_s23,B2,2,23,U12,1,3,3,False,False
B2_U15_s23,B2,2,23,U15,0,15,15,False,False
B2_U15_s23,B2,2,23,U15,1,0,0,False,False
B2_U00_s29,B2,2,29,U00,0,0,0,False,False
B2_U00_s29,B2,2,29,U00,1,15,15,False,False
B2_U03_s29,B2,2,29,U03,0,3,3,False,False
B2_U03_s29,B2,2,29,U03,1,12,12,False,False
B2_U12_s29,B2,2,29,U12,0,12,12,False,False
B2_U12_s29,B2,2,29,U12,1,3,3,False,False
B2_U15_s29,B2,2,29,U15,0,15,15,False,False
B2_U15_s29,B2,2,29,U15,1,0,0,False,False
B4_U00_s17,B4,4,17,U00,0,0,0,False,False
B4_U00_s17,B4,4,17,U00,1,0,0,False,False
B4_U00_s17,B4,4,17,U00,2,0,0,False,False
B4_U00_s17,B4,4,17,U00,3,0,0,False,False
B4_U03_s17,B4,4,17,U03,0,0,0,False,False
B4_U03_s17,B4,4,17,U03,1,0,0,False,False
B4_U03_s17,B4,4,17,U03,2,0,0,False,False
B4_U03_s17,B4,4,17,U03,3,3,3,False,False
B4_U12_s17,B4,4,17,U12,0,0,0,False,False
B4_U12_s17,B4,4,17,U12,1,0,0,False,False
B4_U12_s17,B4,4,17,U12,2,0,0,False,False
B4_U12_s17,B4,4,17,U12,3,12,12,False,False
B4_U15_s17,B4,4,17,U15,0,0,0,False,False
B4_U15_s17,B4,4,17,U15,1,0,0,False,False
B4_U15_s17,B4,4,17,U15,2,0,0,False,False
B4_U15_s17,B4,4,17,U15,3,15,15,False,False
B4_U00_s23,B4,4,23,U00,0,0,0,False,False
B4_U00_s23,B4,4,23,U00,1,0,0,False,False
B4_U00_s23,B4,4,23,U00,2,0,0,False,False
B4_U00_s23,B4,4,23,U00,3,0,0,False,False
B4_U03_s23,B4,4,23,U03,0,0,0,False,False
B4_U03_s23,B4,4,23,U03,1,0,0,False,False
B4_U03_s23,B4,4,23,U03,2,0,0,False,False
B4_U03_s23,B4,4,23,U03,3,3,3,False,False
B4_U12_s23,B4,4,23,U12,0,0,0,False,False
B4_U12_s23,B4,4,23,U12,1,0,0,False,False
B4_U12_s23,B4,4,23,U12,2,0,0,False,False
B4_U12_s23,B4,4,23,U12,3,12,1,False,True
B4_U15_s23,B4,4,23,U15,0,0,0,False,False
B4_U15_s23,B4,4,23,U15,1,0,0,False,False
B4_U15_s23,B4,4,23,U15,2,0,0,False,False
B4_U15_s23,B4,4,23,U15,3,15,15,False,False
B4_U00_s29,B4,4,29,U00,0,0,0,False,False
B4_U00_s29,B4,4,29,U00,1,0,0,False,False
B4_U00_s29,B4,4,29,U00,2,0,0,False,False
B4_U00_s29,B4,4,29,U00,3,0,0,False,False
B4_U03_s29,B4,4,29,U03,0,0,0,False,False
B4_U03_s29,B4,4,29,U03,1,0,0,False,False
B4_U03_s29,B4,4,29,U03,2,0,0,False,False
B4_U03_s29,B4,4,29,U03,3,3,3,False,False
B4_U12_s29,B4,4,29,U12,0,0,0,False,False
B4_U12_s29,B4,4,29,U12,1,0,0,False,False
B4_U12_s29,B4,4,29,U12,2,0,0,False,False
B4_U12_s29,B4,4,29,U12,3,12,12,False,False
B4_U15_s29,B4,4,29,U15,0,0,0,False,False
B4_U15_s29,B4,4,29,U15,1,0,0,False,False
B4_U15_s29,B4,4,29,U15,2,0,0,False,False
B4_U15_s29,B4,4,29,U15,3,15,15,False,False
